"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"認証されていない状態で /mypage にアクセスすると /index にリダイレクトされる","6129","未ログイン状態でマイページにアクセスするとリダイレクトされる","webkit","Thu Mar 27 11:34:27 JST 2025","passed","Thu Mar 27 11:34:33 JST 2025","","login.spec.ts","",""
"タイトルが表示されていること","19248","トップページが正しく表示される","firefox","Thu Mar 27 11:33:20 JST 2025","passed","Thu Mar 27 11:33:39 JST 2025","","index.spec.ts","",""
"登録済みユーザーが正しいメールアドレスとパスワードでログインできることを検証します","5580","正しい認証情報でログインできる","chromium","Thu Mar 27 12:44:15 JST 2025","passed","Thu Mar 27 12:44:21 JST 2025","","login.spec.ts","",""
"誤ったパスワードではログインできず、エラーメッセージが表示される","4493","間違ったパスワードでログインできない","firefox","Thu Mar 27 11:33:19 JST 2025","passed","Thu Mar 27 11:33:24 JST 2025","","login.spec.ts","",""
"宿泊予約フロー全体のUIデザインが期待通りであること","13513","宿泊予約フローの各画面が視覚的に正しく表示される","firefox","Thu Mar 27 11:33:20 JST 2025","passed","Thu Mar 27 11:33:33 JST 2025","","visual.spec.ts","",""
"登録済みユーザーが正しいメールアドレスとパスワードでログインできる","1126","正しい資格情報でログインできる","","Tue Mar 25 17:36:39 JST 2025","passed","Tue Mar 25 17:36:40 JST 2025","","login.spec.ts","",""
"登録済みユーザーが正しいメールアドレスとパスワードでログインできる","2757","正しい認証情報でログインできる","","Thu Mar 27 11:00:54 JST 2025","passed","Thu Mar 27 11:00:57 JST 2025","","login.spec.ts","",""
"プラン選択から予約入力、確認、完了までの一連のE2Eフロー検証","23432","宿泊予約の一連フローが正常に完了すること","firefox","Thu Mar 27 11:33:20 JST 2025","passed","Thu Mar 27 11:33:43 JST 2025","","reservation.spec.ts","",""
"認証されていない状態で保護されたページにアクセスすると適切にリダイレクトされることを検証します","1839","未ログイン状態でマイページにアクセスするとリダイレクトされる","chromium","Thu Mar 27 12:44:15 JST 2025","passed","Thu Mar 27 12:44:17 JST 2025","","login.spec.ts","",""
"プラン選択から予約入力、確認、完了までの一連のE2Eフロー検証","10864","宿泊予約の一連フローが正常に完了すること","webkit","Thu Mar 27 11:34:27 JST 2025","passed","Thu Mar 27 11:34:38 JST 2025","","reservation.spec.ts","",""
"ナビゲーションメニューから各主要ページへ正しく遷移できることを検証します","4093","ナビゲーションメニューで各ページに遷移できる","chromium","Thu Mar 27 12:45:44 JST 2025","passed","Thu Mar 27 12:45:48 JST 2025","","index.spec.ts","",""
"宿泊予約フロー全体のUIデザインが期待通りであること","7523","宿泊予約フローの各画面が視覚的に正しく表示される","chromium","Thu Mar 27 11:33:00 JST 2025","passed","Thu Mar 27 11:33:08 JST 2025","","visual.spec.ts","",""
"ログアウト機能が正しく動作し、トップページにリダイレクトされることを検証します","5173","ログイン後にログアウトするとトップページに戻る","chromium","Thu Mar 27 12:44:15 JST 2025","passed","Thu Mar 27 12:44:21 JST 2025","","login.spec.ts","",""
"認証されていない状態で /mypage にアクセスすると /index にリダイレクトされる","1105","未ログイン状態でマイページにアクセスするとリダイレクトされる","","Thu Mar 27 11:00:59 JST 2025","passed","Thu Mar 27 11:01:00 JST 2025","","login.spec.ts","",""
"トップページが正しく読み込まれ、タイトルが表示されていることを検証します","2090","トップページが正しく表示される","chromium","Thu Mar 27 12:45:44 JST 2025","passed","Thu Mar 27 12:45:46 JST 2025","","index.spec.ts","",""
"タイトルが表示されていること","1829","トップページが正しく表示される","","Thu Mar 27 11:00:54 JST 2025","passed","Thu Mar 27 11:00:56 JST 2025","","index.spec.ts","",""
"認証されていない状態で /mypage にアクセスすると /index にリダイレクトされる","17272","未ログイン状態でマイページにアクセスするとリダイレクトされる","firefox","Thu Mar 27 11:33:20 JST 2025","passed","Thu Mar 27 11:33:37 JST 2025","","login.spec.ts","",""
"ナビゲーションから各ページに遷移できること","3056","ナビゲーションメニューで各ページに遷移できる","","Thu Mar 27 11:00:57 JST 2025","passed","Thu Mar 27 11:01:00 JST 2025","","index.spec.ts","",""
"誤ったパスワードではログインできず、適切なエラーメッセージが表示されることを検証します","2083","間違ったパスワードでログインできない","chromium","Thu Mar 27 12:44:15 JST 2025","passed","Thu Mar 27 12:44:17 JST 2025","","login.spec.ts","",""
"誤ったパスワードではログインできず、エラーメッセージが表示される","4941","間違ったパスワードでログインできない","webkit","Thu Mar 27 11:34:27 JST 2025","passed","Thu Mar 27 11:34:32 JST 2025","","login.spec.ts","",""
"宿泊予約フロー全体のUIデザインが期待通りであること","12076","宿泊予約フローの各画面が視覚的に正しく表示される","webkit","Thu Mar 27 11:34:27 JST 2025","passed","Thu Mar 27 11:34:39 JST 2025","","visual.spec.ts","",""
"ログアウト機能が正しく動作し、トップページにリダイレクトされる","7435","ログイン後にログアウトするとトップページに戻る","webkit","Thu Mar 27 11:34:27 JST 2025","passed","Thu Mar 27 11:34:34 JST 2025","","login.spec.ts","",""
"プラン選択から予約フォーム入力、確認、モーダル完了までのE2Eテスト","2400","宿泊予約の一連フローが完了する","","Tue Mar 25 17:36:48 JST 2025","passed","Tue Mar 25 17:36:50 JST 2025","","reservation.refactored.spec.ts","",""
"ログアウト機能が正しく動作し、トップページにリダイレクトされる","2500","ログイン後にログアウトするとトップページに戻る","","Thu Mar 27 11:01:00 JST 2025","passed","Thu Mar 27 11:01:02 JST 2025","","login.spec.ts","",""
"タイトルが表示されていること","4763","トップページが正しく表示される","webkit","Thu Mar 27 11:34:27 JST 2025","passed","Thu Mar 27 11:34:31 JST 2025","","index.spec.ts","",""
"登録済みユーザーが正しいメールアドレスとパスワードでログインできる","18222","正しい認証情報でログインできる","firefox","Thu Mar 27 11:33:20 JST 2025","passed","Thu Mar 27 11:33:38 JST 2025","","login.spec.ts","",""
"宿泊予約フロー全体のUIデザインが期待通りであることを視覚的に検証します","5345","宿泊予約フローの各画面が視覚的に正しく表示される","chromium","Thu Mar 27 12:52:48 JST 2025","passed","Thu Mar 27 12:52:53 JST 2025","","visual.spec.ts","",""
"誤ったパスワードではログインできず、エラーメッセージが表示される","1202","間違ったパスワードでログインできない","","Thu Mar 27 11:00:57 JST 2025","passed","Thu Mar 27 11:00:59 JST 2025","","login.spec.ts","",""
"ログアウト機能が正しく動作し、トップページにリダイレクトされる","17104","ログイン後にログアウトするとトップページに戻る","firefox","Thu Mar 27 11:33:20 JST 2025","passed","Thu Mar 27 11:33:37 JST 2025","","login.spec.ts","",""
"ナビゲーションから各ページに遷移できること","8466","ナビゲーションメニューで各ページに遷移できる","webkit","Thu Mar 27 11:34:27 JST 2025","passed","Thu Mar 27 11:34:35 JST 2025","","index.spec.ts","",""
"プラン選択から予約入力、確認、完了までの一連のE2Eフロー検証","7081","宿泊予約の一連フローが正常に完了すること","chromium","Thu Mar 27 11:33:00 JST 2025","passed","Thu Mar 27 11:33:07 JST 2025","","reservation.spec.ts","",""
"登録済みユーザーが正しいメールアドレスとパスワードでログインできる","6236","正しい認証情報でログインできる","webkit","Thu Mar 27 11:34:27 JST 2025","passed","Thu Mar 27 11:34:33 JST 2025","","login.spec.ts","",""
"プラン選択から予約フォーム入力、確認、モーダル完了までのE2Eテスト","2610","宿泊予約の一連フローが完了する","","Tue Mar 25 17:37:43 JST 2025","passed","Tue Mar 25 17:37:45 JST 2025","","reservation.spec.ts","",""
"ナビゲーションから各ページに遷移できること","12855","ナビゲーションメニューで各ページに遷移できる","firefox","Thu Mar 27 11:33:20 JST 2025","passed","Thu Mar 27 11:33:32 JST 2025","","index.spec.ts","",""
"プラン選択から予約入力、確認、完了までの一連のE2Eフロー検証","5804","宿泊予約の一連フローが正常に完了すること","","Thu Mar 27 11:00:54 JST 2025","passed","Thu Mar 27 11:01:00 JST 2025","","reservation.spec.ts","",""
"宿泊予約フロー全体のUIデザインが期待通りであること","6182","宿泊予約フローの各画面が視覚的に正しく表示される","","Thu Mar 27 11:00:55 JST 2025","passed","Thu Mar 27 11:01:01 JST 2025","","visual.spec.ts","",""
"プラン選択から予約入力、確認、完了までの一連のE2Eフロー検証","7645","宿泊予約の一連フローが正常に完了すること","chromium","Thu Mar 27 12:51:31 JST 2025","passed","Thu Mar 27 12:51:38 JST 2025","","reservation.spec.ts","",""
